,true,pred
0,55.43,49.32
1,48.25,48.25
2,54.6,54.59999999999998
3,37.9,37.61
4,25.41,25.41
5,60.93,61.02333333333332
6,28.89,28.89
7,25.84,25.34
8,46.74,46.5
9,35.84,35.82
10,32.5,32.5
11,24.52,24.51999999999999
12,43.05,42.82999999999999
13,26.26,26.185000000000002
14,29.0,29.0
15,26.36,26.36000000000008
16,46.5,46.5
17,66.84,64.59
18,26.48,26.479999999999997
19,60.0,60.0
20,57.89,61.99166666666667
21,30.48,30.51333333333334
22,34.95,34.75
23,40.7,43.0
24,21.63,21.63
25,23.85,23.849999999999966
26,25.84,25.840000000000032
27,26.88,26.880000000000088
28,52.4,52.399999999999864
29,34.03,33.68
30,25.84,25.840000000000032
31,45.3,45.3
32,24.58,24.57999999999999
33,36.0,36.0
34,31.79,31.875999999999998
35,22.2,21.7
36,27.84,27.839999999999993
37,24.31,24.309999999999956
38,26.84,26.84
39,57.89,61.3
40,68.1,68.1
41,25.5,25.5
42,36.93,36.710000000000015
43,57.67,57.669999999999995
44,31.28,31.279999999999994
45,22.01,22.009999999999994
46,27.97,27.976000000000006
47,91.0,100.04
48,61.18,61.17999999999999
49,27.67,27.91461538461538
50,20.67,20.67
51,49.2,42.9
52,22.62,22.62
53,30.11,30.11000000000001
54,36.0,36.0
55,49.2,52.51
56,46.5,46.35
57,29.0,29.0
58,27.12,27.12
59,25.84,25.840000000000032
60,25.5,25.5
61,32.61,32.60999999999996
62,40.14,40.13999999999999
63,32.08,32.08
64,29.0,29.0
65,30.26,30.259999999999998
66,37.67,37.67000000000001
67,39.5,39.47666666666668
68,28.48,28.48000000000001
69,31.95,31.95
70,26.0,26.291666666666668
71,32.5,32.5
72,34.72,34.71
73,22.2,22.199999999999957
74,26.48,26.480000000000015
75,34.14,34.140000000000015
76,26.36,26.359999999999957
77,51.22,48.44
78,57.89,57.89
79,31.17,31.169999999999995
80,56.81,56.696944444444476
81,36.0,36.0
82,30.54,30.54
83,29.0,29.0
84,26.14,26.139999999999997
85,55.63,55.02196078431373
86,23.85,29.45
87,32.5,32.5
88,33.19,32.69
89,23.7,24.14
90,52.4,51.899999999999984
91,44.73,44.730000000000004
92,41.23,42.32709677419355
93,32.61,32.61000000000001
94,32.5,32.5
95,39.21,39.47666666666668
96,29.0,29.0
97,22.2,22.199999999999957
98,35.38,39.29333333333333
99,36.0,36.0
100,48.11,48.11
101,22.11,22.615000000000002
102,15.44,15.87
103,23.98,23.979999999999887
104,37.64,31.30999999999999
105,43.8,43.8
106,32.47,32.78454545454546
107,28.45,28.378484848484852
108,32.94,26.84
109,37.06,37.059999999999974
110,47.35,53.47
111,25.63,25.63
112,27.91,27.91
113,44.48,44.5
114,42.31,39.5
115,34.95,32.11
116,27.75,33.47
117,38.84,38.8858064516129
118,57.3,56.75
119,47.69,41.56
120,28.45,28.378484848484852
121,57.67,57.669999999999995
122,32.99,33.06
123,36.86,39.11
124,29.0,29.0
125,32.08,32.07
126,61.08,61.16
127,36.14,36.7
128,31.08,31.08
129,28.45,28.378484848484852
130,33.06,33.06
131,32.5,32.5
132,26.26,26.260000000000147
133,39.5,39.47666666666668
134,42.61,49.2
135,25.5,25.5
136,43.85,43.87
137,25.74,25.740000000000006
138,30.26,30.26
139,35.59,35.58999999999999
140,60.0,59.79
141,30.32,30.320000000000064
142,51.16,51.16
143,41.84,39.03999999999998
144,19.88,19.78
145,31.17,31.204285714285714
146,52.4,52.399999999999864
147,25.84,25.74
148,43.0,43.0
149,21.57,21.569999999999997
150,31.27,31.269999999999992
151,61.18,61.18
152,49.2,49.1999999999999
153,34.09,34.09000000000004
154,26.87,27.37
155,30.59,30.590000000000007
156,57.67,57.669999999999995
157,27.97,27.970000000000017
158,30.16,30.160000000000007
159,24.62,24.42000000000001
160,23.98,23.980000000000015
161,24.31,24.309999999999956
162,35.34,35.86
163,32.99,32.99
164,27.91,27.91
165,32.5,32.5
166,22.45,22.449999999999996
167,23.41,23.41
168,36.86,36.86
169,20.74,20.740000000000006
170,47.83,47.95000000000001
171,70.93,64.69
172,31.79,31.79
173,20.9,27.02
174,54.6,54.60000000000001
175,32.5,32.5
176,46.5,46.5
177,73.5,73.5
178,43.0,43.0
179,51.44,45.31
180,29.0,29.0
181,29.88,29.880000000000013
182,26.93,26.91
183,32.5,32.5
184,30.75,30.75
185,56.09,55.02196078431373
186,37.9,37.89999999999999
187,26.36,26.36000000000008
188,52.4,52.399999999999864
189,22.2,22.199999999999957
190,28.64,28.64000000000002
191,35.72,35.72
192,53.06,51.09
193,37.74,37.74
194,29.0,29.0
195,31.79,31.790000000000003
196,40.11,40.11
197,44.59,38.97
198,43.54,43.040000000000006
199,59.13,65.61
200,51.9,52.4
201,39.67,39.67000000000002
202,53.49,53.489999999999995
203,73.5,73.5
204,23.98,23.98000000000001
205,33.25,33.25
206,23.98,23.979999999999887
207,24.31,24.309999999999956
208,28.26,28.26
209,25.63,25.63
210,32.86,32.924285714285716
211,24.66,24.66
212,36.0,39.52
213,32.86,32.924285714285716
214,24.08,24.184545454545447
215,57.3,62.87
216,30.14,30.14
217,32.5,32.5
218,59.79,59.79
219,23.98,23.979999999999887
220,42.9,48.82
221,25.63,25.63
222,45.3,43.0
223,46.7,46.699999999999996
224,26.81,31.614444444444448
225,29.45,29.24
226,54.6,54.60000000000001
227,28.45,28.449999999999914
228,51.9,51.899999999999984
229,32.11,32.11000000000001
230,39.79,39.78999999999999
231,30.32,30.31999999999999
232,31.06,31.05999999999997
233,23.41,23.41
234,26.26,26.23115384615384
235,38.46,37.91
236,30.11,30.110000000000007
237,28.97,28.97
238,28.15,28.15
239,44.14,40.71
240,39.11,41.84
241,31.06,31.05999999999997
242,48.11,48.11000000000001
243,26.84,26.845128205128212
244,26.26,26.259999999999998
245,50.05,50.050000000000004
246,21.66,27.57
247,37.07,36.87
248,37.67,37.67000000000001
249,23.85,23.849999999999966
250,44.59,44.86534482758622
251,101.25,97.68
252,33.19,33.19
253,31.31,31.30999999999999
254,52.4,52.40000000000004
255,32.07,32.06999999999999
256,46.14,45.9
257,43.84,43.839999999999996
258,31.28,31.48
259,47.2,47.69
260,30.11,30.11
261,73.5,73.5
262,31.88,31.88
263,33.85,33.850000000000016
264,26.88,26.880000000000088
265,32.5,32.5
266,36.0,36.0
267,49.2,49.1999999999999
268,30.11,30.10999999999998
269,30.8,30.8
270,20.64,20.64
271,40.11,40.11
272,19.78,19.78
273,34.71,34.71
274,36.01,35.59
275,25.91,26.23
276,73.5,70.79999999999998
277,32.2,31.74
278,21.66,21.66
279,42.83,49.2
280,28.41,28.409999999999982
281,23.98,23.979999999999887
282,56.98,57.03
283,27.13,27.13
284,46.5,46.5
285,51.9,51.90000000000004
286,31.79,31.789999999999974
287,31.79,31.875999999999998
288,70.67,67.59
289,32.5,32.5
290,33.29,33.45
291,23.57,23.57000000000001
292,62.7,62.7
293,32.5,32.5
294,26.93,26.930000000000003
295,28.26,28.259999999999994
296,39.5,39.47666666666668
297,56.81,57.3
298,24.31,24.309999999999956
299,29.88,29.88
300,76.0,76.0
301,34.85,34.850000000000016
302,48.11,48.22500000000001
303,35.17,37.9
304,24.58,24.57999999999999
305,57.3,57.299999999999976
306,21.66,21.66
307,27.84,27.839999999999993
308,18.94,18.94
309,50.63,50.12
310,28.97,29.0
311,22.11,22.13631578947369
312,30.59,30.59
313,22.98,22.98
314,28.48,28.48
315,24.5,24.5
316,49.57,49.57
317,52.4,52.399999999999864
318,23.98,24.03916666666666
319,30.59,30.590000000000007
320,29.0,29.0
321,39.76,39.76
322,47.07,47.06
323,36.01,36.01
324,65.4,65.39999999999999
325,57.43,57.42999999999999
326,44.1,44.1
327,26.84,26.6
328,35.34,35.326
329,24.62,24.619999999999926
330,27.57,27.570000000000007
331,28.26,28.259999999999994
332,24.66,24.660000000000004
333,27.04,27.040000000000003
334,69.79,69.79
335,43.0,43.0
336,32.5,32.5
337,33.68,33.679999999999986
338,57.26,51.15999999999999
339,27.68,27.723999999999993
340,36.0,36.0
341,22.2,22.199999999999957
342,27.22,26.790399999999995
343,19.35,19.349999999999998
344,36.0,36.0
345,24.56,24.56
346,29.0,29.0
347,21.3,21.11
348,24.5,24.5
349,32.61,32.61
350,28.64,28.64
351,36.0,36.0
352,24.69,24.69
353,50.95,50.95
354,39.04,39.21
355,37.51,37.51
356,26.12,26.157352941176466
357,36.48,36.48
358,54.64,48.54
